Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
227,360 ONE WAM Ltd,360ONE,P&F | F.A,-0.74%,1073,"4,43,925"
4,3m India Limited,3MINDIA,P&F | F.A,1.43%,35663.65,"4,792"
319,Aarti Industries Limited,AARTIIND,P&F | F.A,-0.26%,627.05,"8,80,958"
160,AAVAS Financiers Ltd,AAVAS,P&F | F.A,0.59%,1720.75,"96,056"
24,Abb India Limited,ABB,P&F | F.A,0.76%,7936.05,"3,28,066"
6,Abbott India Limited,ABBOTINDIA,P&F | F.A,0.71%,30195.85,"18,487"
118,Acc Limited,ACC,P&F | F.A,0.82%,2329.15,"1,73,170"
205,Action Construction Equipment Limited,ACE,P&F | F.A,2.07%,1290.95,"1,66,883"
236,Adani Energy Solutions Ltd,ADANIENSOL,P&F | F.A,0.33%,1007.4,"20,71,206"
90,Adani Enterprises Limited,ADANIENT,P&F | F.A,-0.03%,3019.35,"35,09,174"
144,Adani Green Energy Ltd,ADANIGREEN,P&F | F.A,0.46%,1838.15,"10,52,305"
183,Adani Ports And Special Economic Zone Limited,ADANIPORTS,P&F | F.A,0.40%,1481.9,"19,96,592"
317,Adani Power Limited,ADANIPOWER,P&F | F.A,-1.90%,632.05,"47,77,522"
262,Adani Total Gas Ltd,ATGL,P&F | F.A,-0.85%,830.35,"8,60,287"
389,Adani Wilmar Ltd,AWL,P&F | F.A,-0.45%,362,"17,06,883"
433,Aditya Birla Capital Ltd,ABCAPITAL,P&F | F.A,-0.46%,220.11,"18,63,921"
406,Aditya Birla Fashion And Retail Limited,ABFRL,P&F | F.A,-0.62%,311.7,"70,27,599"
283,Aegis Logistics Ltd,AEGISLOG,P&F | F.A,0.36%,752.6,"2,08,944"
254,Aether Industries Ltd,AETHER,P&F | F.A,1.15%,890.25,"35,788"
168,Affle India Ltd,AFFLE,P&F | F.A,-0.73%,1631.6,"1,30,492"
66,Aia Engineering Limited,AIAENG,P&F | F.A,-0.87%,4295.25,"1,45,544"
84,Ajanta Pharma Limited,AJANTPHARM,P&F | F.A,2.94%,3243.55,"2,53,887"
230,Alembic Pharmaceuticals Limited,APLLTD,P&F | F.A,0.86%,1059.1,"1,22,834"
40,Alkem Laboratories Limited,ALKEM,P&F | F.A,2.85%,6170.35,"4,29,045"
124,Alkyl Amines Chemicals Limited,ALKYLAMINE,P&F | F.A,-0.11%,2104.85,"26,284"
486,Allcargo Logistics Limited,ALLCARGO,P&F | F.A,-1.86%,70.02,"40,37,666"
498,Alok Industries Ltd,ALOKINDS,P&F | F.A,-1.80%,27.3,"1,57,74,208"
61,Amber Enterprises India Ltd,AMBER,P&F | F.A,-1.96%,4467.3,"1,13,651"
324,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,0.74%,617.05,"35,40,177"
73,Anand Rathi Wealth Ltd,ANANDRATHI,P&F | F.A,2.15%,3813.8,"70,331"
107,Angel One Ltd,ANGELONE,P&F | F.A,0.60%,2586.35,"5,10,332"
277,Anupam Rasayan India Ltd,ANURAS,P&F | F.A,0.28%,778.8,"42,396"
19,Apar Industries Limited,APARINDS,P&F | F.A,2.42%,9163.5,"3,24,713"
186,Apl Apollo Tubes Limited,APLAPOLLO,P&F | F.A,-2.74%,1462.1,"8,44,217"
31,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,1.03%,6927.5,"4,99,581"
359,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,0.11%,492.9,"20,65,720"
398,Aptus Value Housing Finance India Ltd,APTUS,P&F | F.A,1.72%,327.95,"17,81,243"
284,Archean Chemical Industries Ltd,ACI,P&F | F.A,-0.75%,742.85,"7,33,829"
316,Asahi India Glass Limited,ASAHIINDIA,P&F | F.A,-1.17%,634.3,"71,358"
421,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,1.04%,256.45,"1,58,16,295"
87,Asian Paints Limited,ASIANPAINT,P&F | F.A,0.35%,3126.8,"15,67,031"
383,Aster DM Healthcare Ltd,ASTERDM,P&F | F.A,1.13%,406.7,"19,85,268"
136,Astral Poly Technik Limited,ASTRAL,P&F | F.A,-0.59%,1919.35,"4,41,021"
35,Astrazeneca Pharma India Limited,ASTRAZEN,P&F | F.A,-1.12%,6586.65,"6,172"
23,Atul Limited,ATUL,P&F | F.A,1.62%,7967.45,"50,413"
297,AU Small Finance Bank,AUBANK,P&F | F.A,7.55%,688.7,"1,64,26,385"
174,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,0.40%,1569.4,"17,57,837"
302,Avanti Feeds Limited,AVANTIFEED,P&F | F.A,2.61%,678.3,"5,15,762"
54,Avenue Supermarts,DMART,P&F | F.A,-1.62%,4927.45,"5,64,035"
216,Axis Bank Limited,AXISBANK,P&F | F.A,-0.01%,1175.25,"1,01,90,506"
15,Bajaj Auto Limited,BAJAJ-AUTO,P&F | F.A,0.77%,10891.55,"4,98,560"
28,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,1.93%,7200.15,"20,44,367"
151,Bajaj Finserv Limited,BAJAJFINSV,P&F | F.A,1.56%,1783.05,"38,65,499"
17,Bajaj Holdings & Investment Limited,BAJAJHLDNG,P&F | F.A,-0.02%,10057.7,"1,12,815"
120,Balaji Amines Limited,BALAMINES,P&F | F.A,0.73%,2224.35,"34,692"
98,Balkrishna Industries Limited,BALKRISIND,P&F | F.A,-0.77%,2829.75,"2,94,445"
329,Balrampur Chini Mills Limited,BALRAMCHIN,P&F | F.A,3.43%,598.65,"1,55,37,762"
442,Bandhan Bank Ltd,BANDHANBNK,P&F | F.A,3.28%,200.3,"10,98,87,950"
423,Bank Of Baroda,BANKBARODA,P&F | F.A,0.12%,250.1,"1,29,09,590"
467,Bank Of India,BANKINDIA,P&F | F.A,0.64%,117.74,"24,52,499"
488,Bank Of Maharashtra,MAHABANK,P&F | F.A,0.03%,62.57,"80,64,018"
188,Bata India Limited,BATAINDIA,P&F | F.A,0.16%,1452.65,"1,69,234"
39,Bayer Cropscience Limited,BAYERCROP,P&F | F.A,-0.44%,6289.05,"95,863"
74,Beml Limited,BEML,P&F | F.A,-0.67%,3798.3,"1,91,946"
334,Berger Paints (i) Limited,BERGEPAINT,P&F | F.A,-0.17%,571.05,"3,54,394"
204,Bharat Dynamics Ltd,BDL,P&F | F.A,0.33%,1302.9,"14,36,261"
410,Bharat Electronics Limited,BEL,P&F | F.A,1.05%,299.3,"2,86,84,991"
172,Bharat Forge Limited,BHARATFORG,P&F | F.A,0.58%,1587,"9,31,250"
